Feature,Importance
goals_scored_last_4y,0.2422970208512946
wins_last_4y,0.2182642524300966
goals_received_last_4y,0.18758866805053767
losses_last_4y,0.17915701037860549
world_cup_titles_before,0.17269304828946555
